Date,has_bse,BSE_Close,Gold_Price,DJI_Close,INR_per_USD,DJI_INR,Gold_INR
1950-01-10,0,0.0,34.71,201.2,4.76,957.7119999999999,165.21959999999999
1950-01-11,0,0.0,34.71,201.6,4.76,959.616,165.21959999999999
1950-01-28,0,0.0,34.71,200.1,4.76,952.4759999999999,165.21959999999999
1950-02-01,0,0.0,34.71,201.9,4.76,961.044,165.21959999999999
1950-02-02,0,0.0,34.71,204.1,4.76,971.516,165.21959999999999
1950-02-09,0,0.0,34.71,203.8,4.76,970.088,165.21959999999999
1950-02-12,0,0.0,34.71,202.0,4.76,961.52,165.21959999999999
1950-02-12,0,0.0,34.71,202.0,4.76,961.52,165.21959999999999
1950-02-19,0,0.0,34.71,203.5,4.76,968.66,165.21959999999999
1950-02-21,0,0.0,34.71,203.4,4.76,968.184,165.21959999999999
1950-02-28,0,0.0,34.71,203.4,4.76,968.184,165.21959999999999
1950-03-05,0,0.0,34.71,204.9,4.76,975.324,165.21959999999999
1950-04-14,0,0.0,34.71,215.3,4.76,1024.828,165.21959999999999
1950-04-21,0,0.0,34.71,214.1,4.76,1019.1159999999999,165.21959999999999
1950-04-21,0,0.0,34.71,214.1,4.76,1019.1159999999999,165.21959999999999
1950-04-26,0,0.0,34.71,211.7,4.76,1007.6919999999999,165.21959999999999
1950-04-28,0,0.0,34.71,213.6,4.76,1016.7359999999999,165.21959999999999
1950-04-29,0,0.0,34.71,214.3,4.76,1020.068,165.21959999999999
1950-05-19,0,0.0,34.71,222.1,4.76,1057.196,165.21959999999999
1950-05-20,0,0.0,34.71,222.4,4.76,1058.624,165.21959999999999
1950-05-20,0,0.0,34.71,222.4,4.76,1058.624,165.21959999999999
1950-05-21,0,0.0,34.71,221.6,4.76,1054.816,165.21959999999999
1950-06-03,0,0.0,34.71,221.8,4.76,1055.768,165.21959999999999
1950-06-06,0,0.0,34.71,223.5,4.76,1063.86,165.21959999999999
1950-06-12,0,0.0,34.71,228.4,4.76,1087.184,165.21959999999999
1950-06-17,0,0.0,34.71,222.1,4.76,1057.196,165.21959999999999
1950-06-20,0,0.0,34.71,220.7,4.76,1050.532,165.21959999999999
1950-06-25,0,0.0,34.71,213.9,4.76,1018.164,165.21959999999999
1950-06-26,0,0.0,34.71,213.9,4.76,1018.164,165.21959999999999
1950-07-06,0,0.0,34.71,210.9,4.76,1003.884,165.21959999999999
1950-07-13,0,0.0,34.71,197.5,4.76,940.0999999999999,165.21959999999999
1950-07-16,0,0.0,34.71,197.6,4.76,940.5759999999999,165.21959999999999
1950-07-19,0,0.0,34.71,205.1,4.76,976.276,165.21959999999999
1950-07-25,0,0.0,34.71,203.8,4.76,970.088,165.21959999999999
1950-07-27,0,0.0,34.71,206.4,4.76,982.4639999999999,165.21959999999999
1950-07-31,0,0.0,34.71,209.4,4.76,996.744,165.21959999999999
1950-08-21,0,0.0,34.71,220.2,4.76,1048.1519999999998,165.21959999999999
1950-08-21,0,0.0,34.71,220.2,4.76,1048.1519999999998,165.21959999999999
1950-08-23,0,0.0,34.71,221.5,4.76,1054.34,165.21959999999999
1950-08-27,0,0.0,34.71,218.6,4.76,1040.5359999999998,165.21959999999999
1950-09-02,0,0.0,34.71,220.0,4.76,1047.2,165.21959999999999
1950-09-11,0,0.0,34.71,218.1,4.76,1038.156,165.21959999999999
1950-09-11,0,0.0,34.71,218.1,4.76,1038.156,165.21959999999999
1950-09-18,0,0.0,34.71,226.8,4.76,1079.568,165.21959999999999
1950-09-19,0,0.0,34.71,225.8,4.76,1074.808,165.21959999999999
1950-09-22,0,0.0,34.71,226.6,4.76,1078.616,165.21959999999999
1950-09-22,0,0.0,34.71,226.6,4.76,1078.616,165.21959999999999
1950-10-08,0,0.0,34.71,230.02,4.76,1094.8952,165.21959999999999
1950-10-11,0,0.0,34.71,229.0,4.76,1090.04,165.21959999999999
1950-10-19,0,0.0,34.71,230.8,4.76,1098.608,165.21959999999999
1950-10-19,0,0.0,34.71,230.8,4.76,1098.608,165.21959999999999
1950-10-20,0,0.0,34.71,230.3,4.76,1096.228,165.21959999999999
1950-10-25,0,0.0,34.71,231.5,4.76,1101.94,165.21959999999999
1950-10-30,0,0.0,34.71,226.4,4.76,1077.664,165.21959999999999
1950-11-01,0,0.0,34.71,225.7,4.76,1074.3319999999999,165.21959999999999
1950-11-06,0,0.0,34.71,222.5,4.76,1059.1,165.21959999999999
1950-11-14,0,0.0,34.71,229.5,4.76,1092.4199999999998,165.21959999999999
1950-11-18,0,0.0,34.71,231.6,4.76,1102.416,165.21959999999999
1950-11-26,0,0.0,34.71,235.0,4.76,1118.6,165.21959999999999
1950-12-03,0,0.0,34.71,222.3,4.76,1058.148,165.21959999999999
1950-12-04,0,0.0,34.71,222.3,4.76,1058.148,165.21959999999999
1950-12-11,0,0.0,34.71,229.2,4.76,1090.992,165.21959999999999
1950-12-19,0,0.0,34.71,231.5,4.76,1101.94,165.21959999999999
1950-12-27,0,0.0,34.71,234.2,4.76,1114.792,165.21959999999999
1951-01-05,0,0.0,34.71,241.0,4.76,1147.1599999999999,165.21959999999999
1951-01-18,0,0.0,34.71,247.4,4.76,1177.624,165.21959999999999
1951-01-22,0,0.0,34.71,244.3,4.76,1162.868,165.21959999999999
1951-01-26,0,0.0,34.71,244.5,4.76,1163.82,165.21959999999999
1951-01-31,0,0.0,34.71,248.8,4.76,1184.288,165.21959999999999
1951-02-06,0,0.0,34.71,254.6,4.76,1211.896,165.21959999999999
1951-02-14,0,0.0,34.71,255.1,4.76,1214.2759999999998,165.21959999999999
1951-02-22,0,0.0,34.71,252.2,4.76,1200.472,165.21959999999999
1951-02-26,0,0.0,34.71,253.2,4.76,1205.232,165.21959999999999
1951-03-04,0,0.0,34.71,251.8,4.76,1198.568,165.21959999999999
1951-03-06,0,0.0,34.71,251.6,4.76,1197.616,165.21959999999999
1951-03-10,0,0.0,34.71,252.0,4.76,1199.52,165.21959999999999
1951-03-12,0,0.0,34.71,249.9,4.76,1189.524,165.21959999999999
1951-03-28,0,0.0,34.71,246.2,4.76,1171.9119999999998,165.21959999999999
1951-04-03,0,0.0,34.71,246.0,4.76,1170.96,165.21959999999999
1951-04-11,0,0.0,34.71,249.8,4.76,1189.048,165.21959999999999
1951-04-14,0,0.0,34.71,256.2,4.76,1219.512,165.21959999999999
1951-04-20,0,0.0,34.71,254.8,4.76,1212.848,165.21959999999999
1951-05-23,0,0.0,34.71,247.0,4.76,1175.72,165.21959999999999
1951-06-06,0,0.0,34.71,249.6,4.76,1188.096,165.21959999999999
1951-06-10,0,0.0,34.71,251.6,4.76,1197.616,165.21959999999999
1951-06-19,0,0.0,34.71,253.5,4.76,1206.6599999999999,165.21959999999999
1951-06-27,0,0.0,34.71,246.8,4.76,1174.768,165.21959999999999
1951-07-02,0,0.0,34.71,244.0,4.76,1161.44,165.21959999999999
1951-07-02,0,0.0,34.71,244.0,4.76,1161.44,165.21959999999999
1951-07-06,0,0.0,34.71,250.0,4.76,1190.0,165.21959999999999
1951-07-09,0,0.0,34.71,250.7,4.76,1193.3319999999999,165.21959999999999
1951-08-02,0,0.0,34.71,262.9,4.76,1251.4039999999998,165.21959999999999
1951-08-08,0,0.0,34.71,263.7,4.76,1255.212,165.21959999999999
1951-08-15,0,0.0,34.71,264.3,4.76,1258.068,165.21959999999999
1951-08-25,0,0.0,34.71,265.6,4.76,1264.256,165.21959999999999
1951-09-12,0,0.0,34.71,275.3,4.76,1310.4279999999999,165.21959999999999
1951-09-14,0,0.0,34.71,276.1,4.76,1314.236,165.21959999999999
1951-09-20,0,0.0,34.71,274.1,4.76,1304.7160000000001,165.21959999999999
1951-10-02,0,0.0,34.71,274.3,4.76,1305.668,165.21959999999999
1951-10-10,0,0.0,34.71,272.8,4.76,1298.528,165.21959999999999
1951-10-11,0,0.0,34.71,274.1,4.76,1304.7160000000001,165.21959999999999
1951-10-20,0,0.0,34.71,267.4,4.76,1272.8239999999998,165.21959999999999
1951-10-23,0,0.0,34.71,263.5,4.76,1254.26,165.21959999999999
1951-10-25,0,0.0,34.71,264.2,4.76,1257.5919999999999,165.21959999999999
1951-10-26,0,0.0,34.71,262.3,4.76,1248.548,165.21959999999999
1951-10-31,0,0.0,34.71,262.4,4.76,1249.024,165.21959999999999
1951-11-06,0,0.0,34.71,257.1,4.76,1223.796,165.21959999999999
1951-11-08,0,0.0,34.71,257.1,4.76,1223.796,165.21959999999999
1951-11-10,0,0.0,34.71,261.3,4.76,1243.788,165.21959999999999
1951-11-20,0,0.0,34.71,259.3,4.76,1234.268,165.21959999999999
1951-11-27,0,0.0,34.71,259.5,4.76,1235.22,165.21959999999999
1951-12-02,0,0.0,34.71,263.2,4.76,1252.8319999999999,165.21959999999999
1951-12-09,0,0.0,34.71,267.4,4.76,1272.8239999999998,165.21959999999999
